1556199735.21801 GLOBAL_POSITION_INT {time_boot_ms : 15139655, lat : 535060752, lon : 492244785, alt : 55210, relative_alt : 1217, vx : -68, vy : -27, vz : -2, hdg : 3580}
1556199743.217124 GLOBAL_POSITION_INT {time_boot_ms : 15147655, lat : 535060290, lon : 492244455, alt : 55230, relative_alt : 1236, vx : -64, vy : -30, vz : -7, hdg : 3931}
1556199751.213666 GLOBAL_POSITION_INT {time_boot_ms : 15155655, lat : 535059835, lon : 492244084, alt : 55170, relative_alt : 1173, vx : -60, vy : -32, vz : 2, hdg : 4653}
1556199759.227556 GLOBAL_POSITION_INT {time_boot_ms : 15163655, lat : 535059394, lon : 492243682, alt : 55280, relative_alt : 1288, vx : -63, vy : -35, vz : -3, hdg : 4991}
1556199766.213779 GLOBAL_POSITION_INT {time_boot_ms : 15170655, lat : 535059005, lon : 492243350, alt : 55330, relative_alt : 1337, vx : -62, vy : -28, vz : -2, hdg : 5029}
1556199774.213234 GLOBAL_POSITION_INT {time_boot_ms : 15178655, lat : 535058551, lon : 492242957, alt : 55290, relative_alt : 1299, vx : -63, vy : -36, vz : -5, hdg : 5392}
1556199782.277853 GLOBAL_POSITION_INT {time_boot_ms : 15186655, lat : 535058090, lon : 492242545, alt : 55400, relative_alt : 1408, vx : -63, vy : -33, vz : 2, hdg : 5712}
1556199789.209476 GLOBAL_POSITION_INT {time_boot_ms : 15193655, lat : 535057704, lon : 492242161, alt : 55310, relative_alt : 1314, vx : -58, vy : -35, vz : 5, hdg : 6170}
1556199797.210462 GLOBAL_POSITION_INT {time_boot_ms : 15201655, lat : 535057288, lon : 492241708, alt : 55280, relative_alt : 1287, vx : -56, vy : -35, vz : 0, hdg : 6678}
1556199805.210521 GLOBAL_POSITION_INT {time_boot_ms : 15209655, lat : 535056895, lon : 492241201, alt : 55400, relative_alt : 1404, vx : -52, vy : -42, vz : -1, hdg : 7250}
1556199813.208357 GLOBAL_POSITION_INT {time_boot_ms : 15217655, lat : 535056519, lon : 492240688, alt : 55390, relative_alt : 1398, vx : -53, vy : -44, vz : 2, hdg : 7542}
1556199820.207505 GLOBAL_POSITION_INT {time_boot_ms : 15224655, lat : 535056192, lon : 492240218, alt : 55500, relative_alt : 1508, vx : -50, vy : -46, vz : 0, hdg : 7993}
1556199828.205476 GLOBAL_POSITION_INT {time_boot_ms : 15232655, lat : 535055845, lon : 492239690, alt : 55520, relative_alt : 1524, vx : -48, vy : -41, vz : 3, hdg : 8194}
1556199836.207045 GLOBAL_POSITION_INT {time_boot_ms : 15240655, lat : 535055484, lon : 492239169, alt : 55480, relative_alt : 1484, vx : -51, vy : -45, vz : 0, hdg : 8528}
1556199844.206371 GLOBAL_POSITION_INT {time_boot_ms : 15248655, lat : 535055119, lon : 492238622, alt : 55560, relative_alt : 1562, vx : -51, vy : -48, vz : 0, hdg : 9210}
1556199851.203412 GLOBAL_POSITION_INT {time_boot_ms : 15255655, lat : 535054810, lon : 492238123, alt : 55490, relative_alt : 1491, vx : -50, vy : -45, vz : 2, hdg : 9123}
1556199859.204676 GLOBAL_POSITION_INT {time_boot_ms : 15263655, lat : 535054425, lon : 492237584, alt : 55540, relative_alt : 1543, vx : -54, vy : -43, vz : -1, hdg : 9169}
1556199867.202021 GLOBAL_POSITION_INT {time_boot_ms : 15271655, lat : 535054036, lon : 492237022, alt : 55370, relative_alt : 1379, vx : -50, vy : -45, vz : 0, hdg : 9589}
1556199875.202944 GLOBAL_POSITION_INT {time_boot_ms : 15279655, lat : 535053666, lon : 492236444, alt : 55630, relative_alt : 1631, vx : -50, vy : -47, vz : -1, hdg : 10017}
1556199882.199001 GLOBAL_POSITION_INT {time_boot_ms : 15286655, lat : 535053358, lon : 492235929, alt : 55430, relative_alt : 1437, vx : -48, vy : -44, vz : 5, hdg : 10348}
1556199890.201097 GLOBAL_POSITION_INT {time_boot_ms : 15294655, lat : 535053023, lon : 492235386, alt : 55640, relative_alt : 1640, vx : -49, vy : -42, vz : 2, hdg : 10372}
1556199898.197812 GLOBAL_POSITION_INT {time_boot_ms : 15302655, lat : 535052665, lon : 492234843, alt : 55690, relative_alt : 1692, vx : -51, vy : -48, vz : 0, hdg : 10863}
1556199905.199525 GLOBAL_POSITION_INT {time_boot_ms : 15309655, lat : 535052365, lon : 492234340, alt : 55600, relative_alt : 1607, vx : -46, vy : -45, vz : 0, hdg : 11189}
1556199913.196384 GLOBAL_POSITION_INT {time_boot_ms : 15317655, lat : 535052015, lon : 492233759, alt : 55610, relative_alt : 1616, vx : -48, vy : -46, vz : 3, hdg : 11402}
1556199921.197777 GLOBAL_POSITION_INT {time_boot_ms : 15325655, lat : 535051675, lon : 492233172, alt : 55700, relative_alt : 1702, vx : -45, vy : -50, vz : -4, hdg : 11920}
1556199929.196803 GLOBAL_POSITION_INT {time_boot_ms : 15333655, lat : 535051334, lon : 492232537, alt : 55770, relative_alt : 1778, vx : -45, vy : -51, vz : 0, hdg : 12299}
1556199936.204462 GLOBAL_POSITION_INT {time_boot_ms : 15340655, lat : 535051055, lon : 492232015, alt : 55670, relative_alt : 1678, vx : -44, vy : -48, vz : 0, hdg : 12514}
1556199944.19532 GLOBAL_POSITION_INT {time_boot_ms : 15348655, lat : 535050741, lon : 492231389, alt : 55730, relative_alt : 1732, vx : -40, vy : -51, vz : -5, hdg : 12895}
1556199952.193935 GLOBAL_POSITION_INT {time_boot_ms : 15356655, lat : 535050423, lon : 492230794, alt : 55660, relative_alt : 1665, vx : -47, vy : -48, vz : 5, hdg : 12997}
1556199960.19556 GLOBAL_POSITION_INT {time_boot_ms : 15364655, lat : 535050094, lon : 492230221, alt : 55760, relative_alt : 1762, vx : -46, vy : -47, vz : -5, hdg : 13062}
1556199967.19063 GLOBAL_POSITION_INT {time_boot_ms : 15371655, lat : 535049800, lon : 492229708, alt : 55760, relative_alt : 1762, vx : -45, vy : -48, vz : -3, hdg : 13366}
1556199975.192126 GLOBAL_POSITION_INT {time_boot_ms : 15379655, lat : 535049472, lon : 492229100, alt : 55910, relative_alt : 1911, vx : -43, vy : -49, vz : 1, hdg : 13735}
1556199983.191338 GLOBAL_POSITION_INT {time_boot_ms : 15387655, lat : 535049137, lon : 492228538, alt : 55780, relative_alt : 1784, vx : -50, vy : -46, vz : 0, hdg : 13815}
1556199991.188243 GLOBAL_POSITION_INT {time_boot_ms : 15395655, lat : 535048813, lon : 492227951, alt : 55880, relative_alt : 1884, vx : -46, vy : -48, vz : -1, hdg : 14115}
1556199998.190963 GLOBAL_POSITION_INT {time_boot_ms : 15402655, lat : 535048529, lon : 492227464, alt : 56020, relative_alt : 2028, vx : -46, vy : -43, vz : -5, hdg : 14071}
1556200006.196576 GLOBAL_POSITION_INT {time_boot_ms : 15410655, lat : 535048171, lon : 492226886, alt : 56070, relative_alt : 2072, vx : -49, vy : -46, vz : 1, hdg : 14475}
1556200014.187288 GLOBAL_POSITION_INT {time_boot_ms : 15418655, lat : 535047833, lon : 492226317, alt : 55990, relative_alt : 1995, vx : -49, vy : -44, vz : 3, hdg : 14555}
1556200021.19734 GLOBAL_POSITION_INT {time_boot_ms : 15425655, lat : 535047517, lon : 492225825, alt : 56030, relative_alt : 2039, vx : -49, vy : -45, vz : -3, hdg : 14644}
1556200029.187762 GLOBAL_POSITION_INT {time_boot_ms : 15433655, lat : 535047131, lon : 492225314, alt : 56040, relative_alt : 2043, vx : -58, vy : -40, vz : 0, hdg : 14437}
1556200037.193753 GLOBAL_POSITION_INT {time_boot_ms : 15441655, lat : 535046728, lon : 492224811, alt : 56040, relative_alt : 2045, vx : -57, vy : -39, vz : 2, hdg : 14679}
1556200045.182477 GLOBAL_POSITION_INT {time_boot_ms : 15449655, lat : 535046317, lon : 492224305, alt : 56070, relative_alt : 2074, vx : -56, vy : -41, vz : 2, hdg : 14939}
1556200052.196196 GLOBAL_POSITION_INT {time_boot_ms : 15456655, lat : 535045967, lon : 492223864, alt : 56070, relative_alt : 2078, vx : -53, vy : -40, vz : -2, hdg : 15288}
